Drug Code,Drug Code URL
A000096100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01000096
A001046100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01001046
A001584100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01001584
A001713100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01001713
A003393100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01003393
A003727100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01003727
A004189100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01004189
A005300100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01005300
A005869155,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01005869
A006194100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006194
A006795100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006795
A006819100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006819
A006822100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006822
A006943100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01006943
A007679100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01007679
A007976100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01007976
A009397100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01009397
A009480100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01009480
A012080100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01012080
A012876100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01012876
A013126100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01013126
A013382100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01013382
A013631100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01013631
A015242100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01015242
A015291100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01015291
A015436100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01015436
A016350100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01016350
A016353435,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01016353
A016503100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01016503
A017121100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01017121
A017279416,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01017279
A017860100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01017860
A018250100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018250
A0182501G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018250
A018597500,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018597
A018648100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01018648
A019144351,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01019144
A019144355,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01019144
A019353100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01019353
A020455100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020455
A020927100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01020927
A021455335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021455
A021709212,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01021709
A022200500,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022200
A022467100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022467
A022905100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01022905
A023230229,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023230
A023284100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023284
A023319100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023319
A023352100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023352
A023668212,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023668
A023743100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01023743
A024239100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024239
A024714100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024714
A024921100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024921
A024958100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01024958
A025149100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025149
A025624100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025624
A025778100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01025778
A026041100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026041
A026058209,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026058
A026319212,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01026319
A0270441G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027044
A027374100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027374
A027432100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027432
A027936100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01027936
A028029100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01028029
A028315500,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01028315
A028517100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01028517
A028938100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01028938
A0289381G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01028938
A029210100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01029210
A029881100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01029881
A029903329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01029903
A030456100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030456
A030944338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01030944
A031110100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031110
A031179100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031179
A031188329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031188
A031188338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031188
A031833100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031833
A031922338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031922
A031932100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01031932
A032027338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032027
A032175329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032175
A032175340,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032175
A032325321,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032325
A032325325,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032325
A032325329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032325
A032325335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032325
A032325338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032325
A032634338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032634
A032761100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01032761
A033214100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033214
A033593211,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033593
A033677335,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033677
A033677338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033677
A033677343,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033677
A033890100,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033890
A0339001G0,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01033900
A034071421,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01034071
A034146329,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01034146
A034159338,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01034159
A034159345,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ1000Result?licId=01034159
