"#","Registration No / Notification No","Product Name","Holder"
"1","MAL11075003AZ","Promezine Syrup 1mg/ml.","Y.S.P. INDUSTRIES (M) SDN. BHD."
"2","MAL11115035TC","Decof Syrup","Alpha Bio Medic (M) Sdn Bhd"
"3","MAL12035057N","Seven Seas Iron Plus Syrup","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"4","MAL12055022AZ","PEACE DM SYRUP","Y.S.P. INDUSTRIES (M) SDN. BHD."
"5","MAL12055023AZ","Ceritec Syrup 1mg/ml","Y.S.P. INDUSTRIES (M) SDN. BHD."
"6","MAL12015003AZ","Fucon Syrup 1mg/ml","Y.S.P. INDUSTRIES (M) SDN. BHD."
"7","MAL14125121AZ","Phenylin syrup","PRIME PHARMACEUTICAL SDN. BHD."
"8","MAL12015019AZ","Diphendry Syrup","ROYCE PHARMA MANUFACTURING SDN. BHD."
"9","MAL12075056T","Hovid Erba SYRUP 35mg/5 ml","HOVID BERHAD"
"10","MAL13025048ACZ","Nuelin syrup 80mg/15ml","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"11","MAL13055037T","Linkus Syrup Sugar Free","Herbion Sdn. Bhd."
"12","MAL14025009AZ","YSP Prednisolone Syrup 3mg/5ml","Y.S.P. INDUSTRIES (M) SDN. BHD."
"13","MAL12115070XZ","BISCOMIN SYRUP 4mg/5ml","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"14","MAL13115205AZ","Phenadryl Syrup","Y.S.P. INDUSTRIES (M) SDN. BHD."
"15","MAL13095010T","DONG HUA CORDYCEPS CHUANBEI COUGH SYRUP PLUS","S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD"
"16","MAL13115166T","KOFOL SF SYRUP","BioCare Pharmaceutical (M) Sdn. Bhd."
"17","MAL15015045NC","CEELIN ZINC PLUS Apple Flavor Syrup","Zuellig Pharma Sdn. Bhd"
"18","MAL14105067T","WOODS' HERBAL COUGH SYRUP","KALBE MALAYSIA SDN BHD"
"19","MAL16015070AZ","Windexco PE Syrup","WINWA MEDICAL SDN. BHD."
"20","MAL18056072AZ","Loratyn Dry Syrup 1% w/w","HOVID BERHAD"
"21","MAL16015074AZ","hovid-Salbutamol Syrup 2mg/5ml (Sugar Free)","HOVID BERHAD"
"22","MAL16025025X","hovid-Paracetamol Syrup 120mg/5ml (Sugar Free)","HOVID BERHAD"
"23","MAL15015031NC","VitaHealth Kids Multivits + Lysine & Inulin Syrup (Orange Flavour)","VITAHEALTH BIOTECH SDN BHD"
"24","MAL16025046AZ","Actihist-Co PE Syrup (Sugar Free)","HOVID BERHAD"
"25","MAL18016144AZ","TRIDEX SYRUP","MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD."
"26","MAL18026182AZ","Sedno Syrup 0.5mg/ml","MEDISPEC (M) SDN. BHD."
"27","MAL17035030AZ","Alatrol Syrup 5mg/5ml","MEDISPEC (M) SDN. BHD."
"28","MAL18016054AZ","RICAM SYRUP 5mg/5ml","HOVID BERHAD"
"29","MAL17015017X","Urilyte Syrup","WINWA MEDICAL SDN. BHD."
"30","MAL17107093AZ","Promethiol Syrup","Y.S.P. INDUSTRIES (M) SDN. BHD."
"31","MAL17097009TC","Hurix's Fever & Cold Syrup For Children (Improved)","JIN BIN CORPORATION SDN. BHD."
"32","MAL17035016TC","Hurix's Fluaway Syrup (Herbal) Improved","JIN BIN CORPORATION SDN. BHD."
"33","MAL19961847T","SHU KE LOU SYRUP","U-PIN MEDIC TRADING SDN. BHD."
"34","MAL19961848T","Ubat Batuk U-Pin Chuanbei Lingzhi Jin Syrup","U-PIN MEDIC TRADING SDN. BHD."
"35","MAL19961842T","CHUAN BEI LO HON KOR (SYRUP)","QD HERBS SDN. BHD."
"36","MAL19961843T","CHOONG CHU LU (SYRUP)","QD HERBS SDN. BHD."
"37","MAL19961043T","JKL COUGH SYRUP 120ML","ANHONG TRADING SDN. BHD."
"38","MAL20041135T","Dyna Yen Woh Pei Pa Mi Plus Syrup","DYNAPHARM HERBAL (M) SDN. BHD."
"39","MAL19950856T","Dyna Pamilu Children Cough Syrup","DYNAPHARM HERBAL (M) SDN. BHD."
"40","MAL19973206T","CHUAN PEI BIRD`S NEST CORDYCEPS ROYAL HONEY PLUS OTHER HERBA SYRUP CAP HENG HENG","JAYA MEDI SUPPLY"
"41","MAL19972456T","ANKERLIN (SYRUP)","QD HERBS SDN. BHD."
"42","MAL19987145T","UNECOF SYRUP","TEEPHAM MEDICAL SDN. BHD."
"43","MAL19970321T","LIVERECT SYRUP","Aspen Healthcare Sdn. Bhd."
"44","MAL19970178T","LOONG YEN COUGH SYRUP","DYNAPHARM HERBAL (M) SDN. BHD."
"45","MAL19971755T","YIN CHIUO COUGH SYRUP","BAN CHOON CHAN"
"46","MAL19971078T","PHEI PA ZHONG-ZHAO,YEN-WUO,FUNG-HUANG SYRUP","JAYA MEDI SUPPLY"
"47","MAL19984571T","Dyna Lingzhi Chong Cao Pi Pa Mi Plus Syrup","DYNAPHARM HERBAL (M) SDN. BHD."
"48","MAL19985376T","CHUANBEI PEI PA KOA WITH BIRD'S NEST & CORDYCEPS (ZHONG MA BRAND) SYRUP 300ML","ECOLITE BIOTECH MANUFACTURING SDN BHD"
"49","MAL19985385T","Shou Hsing Brand Chuanbei Pei Pa Koa with Cordyceps & Bird's Nest Syrup","BIOFACT LIFE SDN. BHD."
"50","MAL19985403T","HUACHI COUGH, SORE THROAT, PHLEGM AND BODY HEAT RELIEF SYRUP","PEMBEKALAN UBAT HUATHAI SDN. BHD."
